,first_name,last_name,email,email_verified,signup_date,referral_count,balance
aaron.wrightaaron6549,Aaron,Wright,aaron.wrightaaron6226@gmail.com,True,2018-01-30,6,32.12
abanks,Anthony,Banks,banks@garrett-ramsey.com,True,2018-04-07,3,0.86
abarnes,Ashley,Barnes,ashley@mcbride.com,True,2018-01-05,2,89.01
achristensen,Amanda,Christensen,amanda@yahoo.com,False,2018-03-27,1,42.67
acole,Anthony,Cole,anthony.coleanthony2659@hotmail.com,True,2018-05-17,3,85.4
acortez,Alyssa,Cortez,cortez8509@yahoo.com,True,2018-06-21,2,77.34
acosta,Christian,Acosta,christian.acostachristian7501@gmail.com,True,2018-06-21,6,83.46
adam,Adam,,adam@hotmail.com,True,2018-02-20,1,44.98
adam.fergusonadam5149,Adam,Ferguson,ferguson@hotmail.com,True,2018-05-20,2,92.47
adrian,Adrian,Lamb,adrian@yahoo.com,True,2018-07-26,6,30.01
afrancis,Anthony,Francis,francis@gmail.com,True,2018-03-10,2,57.85
agarcia,Ashley,Garcia,ashley.garciaashley1832@gmail.com,True,2018-03-15,4,23.28
aharrison,Alexander,Harrison,aharrison@yahoo.com,True,2018-03-09,3,52.97
ahenry,Angela,Henry,angela@yahoo.com,True,2018-03-09,0,30.41
alex,Alex,Sparks,asparks@hotmail.com,True,2018-07-02,5,19.84
alex.powellalex7302,Alex,Powell,alex.powellalex4785@yahoo.com,False,2018-07-23,3,92.5
alexandria,Alexandria,Hooper,ahooper@yahoo.com,True,2018-05-22,3,44.02
alexis,Alexis,Vaughn,vaughn@gmail.com,True,2018-09-07,3,14.2
alexis.smithalexis707,Alexis,Smith,alexis.smithalexis3771@gmail.com,True,2018-07-23,2,34.03
amanda.holmesamanda8747,Amanda,Holmes,amanda.holmesamanda4@gmail.com,True,2018-06-22,7,87.07
amber,Amber,,amber@gmail.com,True,2018-01-30,0,33.12
amber.brownamber8932,Amber,Brown,abrown@hotmail.com,True,2018-06-13,6,53.21
amber.carteramber2778,Amber,Carter,carter@yahoo.com,True,2018-05-31,0,58.68
amy,Amy,,amy@gmail.com,True,2018-08-16,3,78.31
amy.johnsonamy2479,Amy,Johnson,johnson@hotmail.com,True,2018-01-30,5,59.94
anderson7178,Jonathan,Anderson,janderson@gmail.com,True,2018-06-02,0,8.15
andre,Andre,Shelton,andre@yahoo.com,True,2018-04-23,3,91.09
angela.castroangela8662,Angela,Castro,castro2780@yahoo.com,True,2018-04-20,1,43.11
anthony,Anthony,Klein,anthony@yahoo.com,True,2018-01-29,3,69.57
aparker,Alexis,Parker,alexis.parkeralexis8723@hotmail.com,True,2018-06-14,4,50.19
arodriguez,Adam,Rodriguez,adam@hotmail.com,True,2018-06-14,2,53.76
ashlee.davisashlee8500,Ashlee,Davis,ashlee@yahoo.com,False,2018-01-01,5,63.83
ashley,Ashley,,ashley@gmail.com,True,2018-09-04,5,24.85
athompson,Anthony,Thompson,anthony.thompsonanthony6265@yahoo.com,False,2018-05-31,1,11.02
bailey,Brett,Bailey,bailey3987@gmail.com,True,2018-02-08,1,65.27
baldwin7300,Richard,Baldwin,richard@hotmail.com,True,2018-07-17,3,98.14
barr,Doris,Barr,doris@gmail.com,True,2018-03-14,5,50.37
barrett2267,Steven,Barrett,steven@hotmail.com,True,2018-05-22,4,20.82
beard7367,David,Beard,david@gmail.com,False,2018-01-12,5,75.64
berg9118,Jason,Berg,jason@yahoo.com,False,2018-01-11,2,61.74
best3346,Shane,Best,best8661@hotmail.com,True,2018-04-22,3,7.92
beverly.taylorbeverly9627,Beverly,Taylor,beverly@gmail.com,False,2018-09-07,0,1.6
bharris,Brianna,Harris,brianna.harrisbrianna5324@gmail.com,True,2018-07-22,1,80.81
bjackson,Brittany,Jackson,bjackson@yahoo.com,False,2018-03-14,2,23.37
blackburn,John,Blackburn,john@gmail.com,True,2018-02-14,1,45.45
blackwell657,Anne,Blackwell,anne.blackwellanne8101@gmail.com,False,2018-01-19,6,84.4
bowers,Sean,Bowers,sean.bowerssean2871@yahoo.com,True,2018-05-27,7,53.87
bradley,Michelle,Bradley,michelle@hotmail.com,True,2018-07-12,6,3.72
brandon.sandersbrandon9464,Brandon,Sanders,bsanders@gmail.com,True,2018-04-20,3,51.85
brewer,Samantha,Brewer,sbrewer@hotmail.com,True,2018-08-16,1,71.07
brian,Brian,Russell,brussell@gmail.com,True,2018-01-11,3,66.05
brittney,Brittney,Aguirre,baguirre@yahoo.com,True,2018-04-09,4,15.13
brooke.davisbrooke4391,Brooke,Davis,davis4746@hotmail.com,False,2018-04-19,1,22.55
brown,Amanda,Brown,abrown@yahoo.com,False,2018-07-21,7,41.79
bryant,Heather,Bryant,heather@hotmail.com,True,2018-06-21,4,33.46
bspencer,Bryan,Spencer,bspencer@erickson.info,True,2018-03-24,5,59.34
bullock9395,Robert,Bullock,bullock4637@hotmail.com,False,2018-06-18,5,67.66
caleb.ramirezcaleb7635,Caleb,Ramirez,cramirez@yahoo.com,True,2018-02-19,3,85.22
candice,Candice,,candice@hotmail.com,True,2018-04-11,5,74.07
carla,Carla,Wright,carla.wrightcarla6207@hotmail.com,False,2018-09-11,0,34.16
carmen,Carmen,Doyle,doyle7091@hotmail.com,True,2018-01-01,4,21.26
carr498,Charles,Carr,charles@yahoo.com,False,2018-01-21,5,72.73
carrillo1756,Gabriel,Carrillo,gabriel.carrillogabriel9002@hotmail.com,True,2018-06-08,1,81.16
carter387,Melissa,Carter,mcarter@gmail.com,True,2018-02-02,4,51.9
carter7716,Kelly,Carter,carter1200@gmail.com,True,2018-02-19,3,75.86
cathy,Cathy,Beck,cathy@hotmail.com,True,2018-01-12,0,47.36
cbowen,Charles,Bowen,charles@gmail.com,True,2018-08-23,5,81.38
cbrown,Carolyn,Brown,cbrown@gmail.com,True,2018-06-26,2,72.81
cedwards,Christina,Edwards,christina@gmail.com,True,2018-08-25,3,38.2
cgaines,Christopher,Gaines,christopher@yahoo.com,True,2018-06-21,3,89.58
chan4188,James,Chan,james@gmail.com,True,2018-02-27,5,83.57
chavez6323,Marissa,Chavez,marissa.chavezmarissa8562@yahoo.com,True,2018-03-28,1,40.51
cheryl,Cheryl,,cheryl@yahoo.com,True,2018-06-14,0,60.7
cheyenne,Cheyenne,,cheyenne@hotmail.com,True,2018-06-17,5,58.5
christian,Christian,Atkins,christian.atkinschristian8214@hotmail.com,True,2018-07-06,4,91.47
christina.wallacechristina2706,Christina,Wallace,christina.wallacechristina1368@hotmail.com,True,2018-08-26,6,87.07
christine,Christine,Washington,washington5880@gmail.com,True,2018-04-16,6,97.27
christopher,Christopher,,christopher@yahoo.com,True,2018-01-22,3,20.42
christopher.davischristopher9205,Christopher,Davis,cdavis@hotmail.com,True,2018-03-29,0,46.96
christopher.davischristopher9815,Christopher,Davis,davis@yahoo.com,False,2018-05-14,5,8.23
cody.medinacody5708,Cody,Medina,medina5220@gmail.com,True,2018-06-01,1,14.34
cohen80,Samantha,Cohen,samantha.cohensamantha1101@hotmail.com,True,2018-06-20,1,72.41
collins,Pamela,Collins,pamela@walton.org,True,2018-08-20,3,25.88
combs,Amanda,Combs,amanda@gmail.com,True,2018-08-08,4,42.6
connie,Connie,,connie@hotmail.com,False,2018-09-09,7,11.71
cooper,Johnny,Cooper,cooper@yahoo.com,True,2018-05-22,5,90.41
cory,Cory,Kim,cory@hotmail.com,True,2018-07-28,4,4.73
cristina,Cristina,Mack,cristina@hotmail.com,True,2018-07-25,5,29.26
crystal.ramirezcrystal1766,Crystal,Ramirez,ramirez5535@hotmail.com,True,2018-07-13,2,32.92
csmith,Christina,Smith,smith4251@gmail.com,True,2018-01-13,3,26.38
cuevas,Alexis,Cuevas,acuevas@yahoo.com,True,2018-03-01,6,35.1
curry2129,Edward,Curry,edward.curryedward3941@gmail.com,True,2018-04-07,7,70.84
cwoodard,Christina,Woodard,woodard@yahoo.com,True,2018-08-22,4,31.75
cynthia.cartercynthia7338,Cynthia,Carter,carter@long.com,True,2018-01-06,1,9.75
daniel,Daniel,Garcia,garcia339@yahoo.com,True,2018-03-30,7,28.19
danielle.harrisdanielle3844,Danielle,Harris,harris9433@gmail.com,True,2018-06-21,2,92.17
daniels,Karen,Daniels,daniels419@davidson.com,True,2018-04-08,6,95.34
danny,Danny,Jones,jones6378@gmail.com,False,2018-07-19,2,69.69
danny.smithdanny9664,Danny,Smith,danny@mendoza.com,True,2018-04-10,2,77.44
darlene,Darlene,,darlene@hotmail.com,True,2018-01-09,5,7.52
david,David,Ramos,ramos8991@yahoo.com,True,2018-08-06,0,7.71
david.baileydavid1093,David,Bailey,bailey5380@yahoo.com,False,2018-02-23,7,86.64
davis,Nancy,Davis,nancy.davisnancy3355@yahoo.com,True,2018-06-30,4,56.56
davis6105,Logan,Davis,ldavis@hotmail.com,True,2018-06-18,0,66.83
dbenson,David,Benson,benson@gmail.com,False,2018-04-21,5,70.29
debra,Debra,Mendoza,debra.mendozadebra6049@hotmail.com,True,2018-03-06,3,8.55
delacruz,Michael,Delacruz,delacruz@yahoo.com,True,2018-08-29,2,51.03
delgado8791,Marie,Delgado,delgado1932@hotmail.com,True,2018-02-28,7,13.52
denise,Denise,,denise@gmail.com,True,2018-04-25,7,41.81
dhicks,Donald,Hicks,hicks3328@yahoo.com,True,2018-02-02,5,38.71
diana,Diana,Cox,dcox@gmail.com,True,2018-02-04,7,12.22
dlee,Daniel,Lee,lee@gmail.com,True,2018-08-13,5,29.25
dmartinez,Dana,Martinez,dana@hotmail.com,True,2018-03-29,0,36.16
dmccall,David,Mccall,dmccall@yahoo.com,True,2018-04-17,7,28.53
dmitchell,Dana,Mitchell,mitchell@gmail.com,False,2018-02-28,1,93.21
douglas,Douglas,Hansen,hansen6374@gmail.com,True,2018-05-20,7,44.94
douglas.mitchelldouglas9832,Douglas,Mitchell,mitchell1918@gmail.com,True,2018-08-12,0,8.59
doyle,Brittany,Doyle,doyle7350@gmail.com,True,2018-08-23,7,53.52
drodriguez,Danielle,Rodriguez,rodriguez@gmail.com,True,2018-06-05,7,23.59
dunlap,Troy,Dunlap,dunlap@gmail.com,True,2018-02-28,3,3.06
dyer,Susan,Dyer,dyer8498@hotmail.com,True,2018-07-07,2,10.0
dylan,Dylan,Simmons,simmons9624@hotmail.com,True,2018-06-29,3,49.94
earl,Earl,Harris,harris3603@gmail.com,True,2018-01-08,4,36.24
ecunningham,Evan,Cunningham,cunningham8383@smith.com,True,2018-08-13,2,71.98
edward.jonesedward4540,Edward,Jones,jones@yahoo.com,False,2018-03-01,2,65.22
edward.lopezedward4880,Edward,Lopez,elopez@yahoo.com,True,2018-02-22,4,36.68
edward.mcmillanedward9390,Edward,Mcmillan,mcmillan@gmail.com,False,2018-09-10,2,31.34
edwards,Vincent,Edwards,vedwards@yahoo.com,True,2018-01-28,5,10.34
edwards6432,Cassie,Edwards,cassie@gmail.com,True,2018-08-09,5,15.44
egibson,Ernest,Gibson,egibson@gmail.com,False,2018-05-07,3,5.04
ehood,Eric,Hood,hood@jones.biz,True,2018-05-07,3,60.04
elizabeth,Elizabeth,Flores,eflores@gmail.com,True,2018-09-09,7,59.85
elizabeth.davidelizabeth7476,Elizabeth,David,edavid@hotmail.com,True,2018-07-07,5,2.47
ellis,Christopher,Ellis,ellis2024@yahoo.com,False,2018-08-18,1,47.44
ellis8101,Michaela,Ellis,mellis@yahoo.com,True,2018-06-14,6,36.93
ellison,Michael,Ellison,michael@hotmail.com,True,2018-02-06,3,29.28
emily.nelsonemily8730,Emily,Nelson,nelson@hotmail.com,False,2018-04-20,4,58.96
eric,Eric,,eric@hotmail.com,True,2018-03-08,6,41.87
erichard,Emily,Richard,emily.richardemily6455@gmail.com,True,2018-04-05,0,51.57
erika,Erika,Rodriguez,rodriguez@kelly.info,True,2018-07-21,5,53.73
erin,Erin,,erin@hotmail.com,True,2018-03-06,7,9.88
evans,William,Evans,william.evanswilliam8269@gmail.com,True,2018-02-05,1,15.18
fletcher,Michelle,Fletcher,fletcher6326@hotmail.com,False,2018-04-13,5,40.52
fox8089,Crystal,Fox,cfox@gmail.com,True,2018-06-12,0,47.75
franklin,Jonathan,Franklin,franklin@hotmail.com,True,2018-01-17,5,73.75
frazier,Nicholas,Frazier,nicholas@hotmail.com,True,2018-07-20,0,53.8
frederick,Nicholas,Frederick,nicholas.fredericknicholas6114@hotmail.com,True,2018-08-25,1,1.73
fuentes,Kirk,Fuentes,kfuentes@gmail.com,True,2018-02-11,5,28.95
gallagher,Christine,Gallagher,gallagher277@yahoo.com,True,2018-03-11,3,50.42
garcia,Joshua,Garcia,joshua.garciajoshua109@yahoo.com,True,2018-08-20,7,48.65
garcia3090,Ashley,Garcia,ashley.garciaashley8322@douglas.com,True,2018-08-25,2,86.13
garrett.wigginsgarrett1715,Garrett,Wiggins,gwiggins@yahoo.com,True,2018-04-28,2,19.47
gary,Gary,Ramirez,gary@hotmail.com,True,2018-05-02,5,44.78
george5651,Anthony,George,anthony.georgeanthony8650@gmail.com,True,2018-02-03,7,68.76
gmcguire,Geoffrey,Mcguire,geoffrey@gmail.com,True,2018-07-16,2,89.72
gonzalez,Dustin,Gonzalez,dgonzalez@gmail.com,True,2018-03-31,3,90.26
gonzalez3350,David,Gonzalez,david@hampton-sanchez.com,True,2018-08-14,7,32.0
goodman,Amy,Goodman,goodman@hotmail.com,True,2018-03-25,2,25.64
gordon,Russell,Gordon,gordon@hotmail.com,True,2018-05-25,1,53.11
graves6339,Melissa,Graves,melissa.gravesmelissa3979@hotmail.com,True,2018-05-11,4,52.81
green,Christine,Green,christine.greenchristine9357@gmail.com,True,2018-01-06,5,68.46
gregory,Gregory,,gregory@gmail.com,True,2018-01-09,6,64.48
gregory.avilagregory4904,Gregory,Avila,avila@hotmail.com,False,2018-02-23,6,63.16
grimes,Jeremy,Grimes,grimes@hotmail.com,True,2018-01-09,6,69.91
gsteele,Gregory,Steele,gregory@yahoo.com,False,2018-01-21,3,54.06
gutierrez,Susan,Gutierrez,susan.gutierrezsusan1854@hotmail.com,True,2018-03-19,7,83.42
hale7902,Jessica,Hale,hale@hotmail.com,True,2018-02-16,2,11.64
hammond2790,Cole,Hammond,cole.hammondcole4222@yahoo.com,False,2018-04-24,6,86.59
hanna3706,Michelle,Hanna,hanna9504@gmail.com,True,2018-05-06,2,76.31
harold,Harold,Johnson,johnson@hotmail.com,True,2018-06-04,2,15.45
henry,Henry,White,white@yahoo.com,False,2018-03-11,2,73.88
henry.davishenry9477,Henry,Davis,hdavis@holmes-erickson.com,True,2018-08-10,1,38.42
hmiller,Holly,Miller,hmiller@atkinson-williams.com,True,2018-06-14,2,3.38
hodge,Lisa,Hodge,lhodge@yahoo.com,True,2018-07-08,5,9.62
huber,John,Huber,john.huberjohn8815@hotmail.com,True,2018-06-17,0,63.62
hughes9955,Thomas,Hughes,thughes@hotmail.com,False,2018-03-17,7,53.17
